Dataset,Model,PacketLoss,Topology,Agents,Alpha,AttackType,Run,Accuracy,Precision,Recall,F1_score
CIC,Logistic Regression,0.0,ring,5,1.0,Exploit,3,0.4187,0.4001,0.4191,0.4094
CIC,Logistic Regression,0.0,ring,8,0.3,DoS,1,0.3927,0.3892,0.4116,0.4001
CIC,Logistic Regression,0.0,ring,8,0.3,DoS,2,0.3832,0.4067,0.3785,0.3921
CIC,Logistic Regression,0.0,ring,8,0.3,DoS,3,0.4196,0.4246,0.3967,0.4102
CIC,Logistic Regression,0.0,ring,8,0.3,Recon,1,0.3915,0.397,0.403,0.4
CIC,Logistic Regression,0.0,ring,8,0.3,Recon,2,0.3688,0.3382,0.4572,0.3888
CIC,Logistic Regression,0.0,ring,8,0.3,Recon,3,0.381,0.3402,0.4058,0.3702
CIC,Logistic Regression,0.0,ring,8,0.3,Exploit,1,0.3928,0.3551,0.3785,0.3664
CIC,Logistic Regression,0.0,ring,8,0.3,Exploit,2,0.3572,0.3968,0.3549,0.3747
CIC,Logistic Regression,0.0,ring,8,0.3,Exploit,3,0.3727,0.3484,0.4105,0.3769
CIC,Logistic Regression,0.0,ring,8,0.5,DoS,1,0.4543,0.3858,0.5055,0.4376
CIC,Logistic Regression,0.0,ring,8,0.5,DoS,2,0.4005,0.4107,0.448,0.4286
CIC,Logistic Regression,0.0,ring,8,0.5,DoS,3,0.4314,0.4102,0.4432,0.4261
CIC,Logistic Regression,0.0,ring,8,0.5,Recon,1,0.4051,0.4534,0.3665,0.4053
CIC,Logistic Regression,0.0,ring,8,0.5,Recon,2,0.3941,0.395,0.3844,0.3896
CIC,Logistic Regression,0.0,ring,8,0.5,Recon,3,0.4338,0.4504,0.403,0.4254
CIC,Logistic Regression,0.0,ring,8,0.5,Exploit,1,0.4078,0.3813,0.46,0.4169
CIC,Logistic Regression,0.0,ring,8,0.5,Exploit,2,0.3539,0.3694,0.3936,0.3811
CIC,Logistic Regression,0.0,ring,8,0.5,Exploit,3,0.3752,0.3979,0.4114,0.4045
CIC,Logistic Regression,0.0,ring,8,1.0,DoS,1,0.4367,0.4292,0.4108,0.4198
CIC,Logistic Regression,0.0,ring,8,1.0,DoS,2,0.4852,0.5524,0.4014,0.465
CIC,Logistic Regression,0.0,ring,8,1.0,DoS,3,0.4395,0.3562,0.5121,0.4202
CIC,Logistic Regression,0.0,ring,8,1.0,Recon,1,0.391,0.3903,0.4161,0.4028
CIC,Logistic Regression,0.0,ring,8,1.0,Recon,2,0.4182,0.4449,0.3852,0.4129
CIC,Logistic Regression,0.0,ring,8,1.0,Recon,3,0.3819,0.3816,0.4492,0.4126
CIC,Logistic Regression,0.0,ring,8,1.0,Exploit,1,0.4331,0.3961,0.3993,0.3977
CIC,Logistic Regression,0.0,ring,8,1.0,Exploit,2,0.3988,0.4364,0.3812,0.407
CIC,Logistic Regression,0.0,ring,8,1.0,Exploit,3,0.3753,0.3583,0.4213,0.3872
CIC,Logistic Regression,0.0,fully,5,0.3,DoS,1,0.4752,0.4323,0.4845,0.4569
CIC,Logistic Regression,0.0,fully,5,0.3,DoS,2,0.4208,0.4394,0.3869,0.4115
CIC,Logistic Regression,0.0,fully,5,0.3,DoS,3,0.4096,0.4214,0.4239,0.4227
CIC,Logistic Regression,0.0,fully,5,0.3,Recon,1,0.3877,0.398,0.4263,0.4117
CIC,Logistic Regression,0.0,fully,5,0.3,Recon,2,0.4175,0.391,0.3808,0.3858
CIC,Logistic Regression,0.0,fully,5,0.3,Recon,3,0.4131,0.4038,0.411,0.4074
CIC,Logistic Regression,0.0,fully,5,0.3,Exploit,1,0.4065,0.4212,0.4082,0.4146
CIC,Logistic Regression,0.0,fully,5,0.3,Exploit,2,0.4427,0.4245,0.3995,0.4116
CIC,Logistic Regression,0.0,fully,5,0.3,Exploit,3,0.3745,0.361,0.4428,0.3977
CIC,Logistic Regression,0.0,fully,5,0.5,DoS,1,0.4659,0.5165,0.4225,0.4648
CIC,Logistic Regression,0.0,fully,5,0.5,DoS,2,0.4158,0.4781,0.3978,0.4343
CIC,Logistic Regression,0.0,fully,5,0.5,DoS,3,0.4195,0.4459,0.4089,0.4266
CIC,Logistic Regression,0.0,fully,5,0.5,Recon,1,0.4267,0.415,0.4249,0.4199
CIC,Logistic Regression,0.0,fully,5,0.5,Recon,2,0.454,0.4438,0.4384,0.4411
CIC,Logistic Regression,0.0,fully,5,0.5,Recon,3,0.3724,0.3878,0.3907,0.3892
CIC,Logistic Regression,0.0,fully,5,0.5,Exploit,1,0.3871,0.3654,0.4222,0.3917
CIC,Logistic Regression,0.0,fully,5,0.5,Exploit,2,0.429,0.3839,0.4727,0.4237
CIC,Logistic Regression,0.0,fully,5,0.5,Exploit,3,0.423,0.3929,0.4131,0.4027
CIC,Logistic Regression,0.0,fully,5,1.0,DoS,1,0.458,0.4982,0.4239,0.4581
CIC,Logistic Regression,0.0,fully,5,1.0,DoS,2,0.4445,0.4328,0.4465,0.4396
CIC,Logistic Regression,0.0,fully,5,1.0,DoS,3,0.4572,0.4201,0.4906,0.4526
CIC,Logistic Regression,0.0,fully,5,1.0,Recon,1,0.4807,0.5089,0.3774,0.4334
CIC,Logistic Regression,0.0,fully,5,1.0,Recon,2,0.3881,0.4086,0.4262,0.4172
CIC,Logistic Regression,0.0,fully,5,1.0,Recon,3,0.4455,0.4306,0.4121,0.4211
CIC,Logistic Regression,0.0,fully,5,1.0,Exploit,1,0.3672,0.3894,0.4308,0.4091
CIC,Logistic Regression,0.0,fully,5,1.0,Exploit,2,0.4098,0.3857,0.4552,0.4176
CIC,Logistic Regression,0.0,fully,5,1.0,Exploit,3,0.3717,0.404,0.4097,0.4068
CIC,Logistic Regression,0.0,fully,8,0.3,DoS,1,0.3899,0.4719,0.3593,0.408
CIC,Logistic Regression,0.0,fully,8,0.3,DoS,2,0.4774,0.4687,0.37,0.4135
CIC,Logistic Regression,0.0,fully,8,0.3,DoS,3,0.4196,0.4014,0.4241,0.4124
CIC,Logistic Regression,0.0,fully,8,0.3,Recon,1,0.4334,0.4063,0.4702,0.4359
CIC,Logistic Regression,0.0,fully,8,0.3,Recon,2,0.4145,0.4347,0.4094,0.4217
CIC,Logistic Regression,0.0,fully,8,0.3,Recon,3,0.4085,0.3667,0.4597,0.408
CIC,Logistic Regression,0.0,fully,8,0.3,Exploit,1,0.385,0.403,0.3893,0.396
CIC,Logistic Regression,0.0,fully,8,0.3,Exploit,2,0.4122,0.4375,0.3806,0.4071
CIC,Logistic Regression,0.0,fully,8,0.3,Exploit,3,0.4053,0.4069,0.4037,0.4053
CIC,Logistic Regression,0.0,fully,8,0.5,DoS,1,0.4324,0.4437,0.4251,0.4342
CIC,Logistic Regression,0.0,fully,8,0.5,DoS,2,0.488,0.5236,0.437,0.4764
CIC,Logistic Regression,0.0,fully,8,0.5,DoS,3,0.4604,0.4002,0.473,0.4336
CIC,Logistic Regression,0.0,fully,8,0.5,Recon,1,0.3945,0.4433,0.4154,0.4289
CIC,Logistic Regression,0.0,fully,8,0.5,Recon,2,0.4171,0.4525,0.4261,0.4389
CIC,Logistic Regression,0.0,fully,8,0.5,Recon,3,0.4191,0.4258,0.4103,0.4179
CIC,Logistic Regression,0.0,fully,8,0.5,Exploit,1,0.4056,0.4075,0.4138,0.4106
CIC,Logistic Regression,0.0,fully,8,0.5,Exploit,2,0.3698,0.4614,0.3809,0.4173
CIC,Logistic Regression,0.0,fully,8,0.5,Exploit,3,0.4174,0.4167,0.4063,0.4114
CIC,Logistic Regression,0.0,fully,8,1.0,DoS,1,0.4641,0.3967,0.5183,0.4494
CIC,Logistic Regression,0.0,fully,8,1.0,DoS,2,0.5036,0.4349,0.5378,0.4809
CIC,Logistic Regression,0.0,fully,8,1.0,DoS,3,0.429,0.4482,0.4519,0.4501
CIC,Logistic Regression,0.0,fully,8,1.0,Recon,1,0.4446,0.469,0.397,0.43
CIC,Logistic Regression,0.0,fully,8,1.0,Recon,2,0.4721,0.4963,0.4304,0.461
CIC,Logistic Regression,0.0,fully,8,1.0,Recon,3,0.4781,0.4743,0.4487,0.4612
CIC,Logistic Regression,0.0,fully,8,1.0,Exploit,1,0.4066,0.4225,0.4186,0.4206
CIC,Logistic Regression,0.0,fully,8,1.0,Exploit,2,0.4589,0.4045,0.482,0.4398
CIC,Logistic Regression,0.0,fully,8,1.0,Exploit,3,0.4397,0.4573,0.392,0.4221
CIC,Logistic Regression,0.0,random,5,0.3,DoS,1,0.4119,0.4642,0.4224,0.4423
CIC,Logistic Regression,0.0,random,5,0.3,DoS,2,0.4072,0.3788,0.4564,0.414
CIC,Logistic Regression,0.0,random,5,0.3,DoS,3,0.4245,0.4568,0.4201,0.4377
CIC,Logistic Regression,0.0,random,5,0.3,Recon,1,0.3555,0.3808,0.3788,0.3798
CIC,Logistic Regression,0.0,random,5,0.3,Recon,2,0.4083,0.3943,0.376,0.3849
CIC,Logistic Regression,0.0,random,5,0.3,Recon,3,0.4279,0.3354,0.5083,0.4041
CIC,Logistic Regression,0.0,random,5,0.3,Exploit,1,0.4188,0.3985,0.3744,0.3861
CIC,Logistic Regression,0.0,random,5,0.3,Exploit,2,0.3669,0.3363,0.3738,0.3541
CIC,Logistic Regression,0.0,random,5,0.3,Exploit,3,0.373,0.4056,0.3257,0.3613
CIC,Logistic Regression,0.0,random,5,0.5,DoS,1,0.4597,0.4256,0.4613,0.4427
CIC,Logistic Regression,0.0,random,5,0.5,DoS,2,0.4508,0.453,0.4393,0.446
CIC,Logistic Regression,0.0,random,5,0.5,DoS,3,0.4329,0.4082,0.4635,0.4341
CIC,Logistic Regression,0.0,random,5,0.5,Recon,1,0.428,0.4192,0.3968,0.4077
CIC,Logistic Regression,0.0,random,5,0.5,Recon,2,0.4238,0.3904,0.3979,0.3941
CIC,Logistic Regression,0.0,random,5,0.5,Recon,3,0.4046,0.3742,0.427,0.3988
CIC,Logistic Regression,0.0,random,5,0.5,Exploit,1,0.4392,0.413,0.4123,0.4127
CIC,Logistic Regression,0.0,random,5,0.5,Exploit,2,0.4253,0.4381,0.3904,0.4129
CIC,Logistic Regression,0.0,random,5,0.5,Exploit,3,0.3949,0.4288,0.4412,0.4349
CIC,Logistic Regression,0.0,random,5,1.0,DoS,1,0.4667,0.4503,0.4787,0.4641
CIC,Logistic Regression,0.0,random,5,1.0,DoS,2,0.441,0.4116,0.5204,0.4596
CIC,Logistic Regression,0.0,random,5,1.0,DoS,3,0.4263,0.3922,0.4429,0.416
CIC,Logistic Regression,0.0,random,5,1.0,Recon,1,0.3998,0.4362,0.4199,0.4279
CIC,Logistic Regression,0.0,random,5,1.0,Recon,2,0.3759,0.387,0.3837,0.3853
CIC,Logistic Regression,0.0,random,5,1.0,Recon,3,0.4306,0.4479,0.4077,0.4269
CIC,Logistic Regression,0.0,random,5,1.0,Exploit,1,0.4321,0.4283,0.4147,0.4214
CIC,Logistic Regression,0.0,random,5,1.0,Exploit,2,0.4034,0.394,0.405,0.3994
CIC,Logistic Regression,0.0,random,5,1.0,Exploit,3,0.4331,0.4105,0.4348,0.4223
CIC,Logistic Regression,0.0,random,8,0.3,DoS,1,0.4326,0.4125,0.4196,0.416
CIC,Logistic Regression,0.0,random,8,0.3,DoS,2,0.3653,0.3512,0.4387,0.3901
CIC,Logistic Regression,0.0,random,8,0.3,DoS,3,0.4012,0.3646,0.4077,0.385
CIC,Logistic Regression,0.0,random,8,0.3,Recon,1,0.4176,0.4017,0.39,0.3957
CIC,Logistic Regression,0.0,random,8,0.3,Recon,2,0.447,0.4178,0.422,0.4199
CIC,Logistic Regression,0.0,random,8,0.3,Recon,3,0.3913,0.3763,0.4301,0.4014
CIC,Logistic Regression,0.0,random,8,0.3,Exploit,1,0.3629,0.3411,0.399,0.3678
CIC,Logistic Regression,0.0,random,8,0.3,Exploit,2,0.3797,0.4537,0.361,0.4021
CIC,Logistic Regression,0.0,random,8,0.3,Exploit,3,0.4083,0.3647,0.433,0.3959
CIC,Logistic Regression,0.0,random,8,0.5,DoS,1,0.4609,0.3781,0.5066,0.433
CIC,Logistic Regression,0.0,random,8,0.5,DoS,2,0.4052,0.4099,0.4432,0.4259
CIC,Logistic Regression,0.0,random,8,0.5,DoS,3,0.4218,0.438,0.4131,0.4252
CIC,Logistic Regression,0.0,random,8,0.5,Recon,1,0.4466,0.4308,0.4096,0.4199
CIC,Logistic Regression,0.0,random,8,0.5,Recon,2,0.4373,0.3656,0.4664,0.4099
CIC,Logistic Regression,0.0,random,8,0.5,Recon,3,0.42,0.4435,0.3813,0.41
CIC,Logistic Regression,0.0,random,8,0.5,Exploit,1,0.4423,0.4135,0.3931,0.403
CIC,Logistic Regression,0.0,random,8,0.5,Exploit,2,0.4394,0.4382,0.4341,0.4362
CIC,Logistic Regression,0.0,random,8,0.5,Exploit,3,0.4295,0.3958,0.45,0.4211
CIC,Logistic Regression,0.0,random,8,1.0,DoS,1,0.4281,0.454,0.4356,0.4446
CIC,Logistic Regression,0.0,random,8,1.0,DoS,2,0.4118,0.359,0.5094,0.4212
CIC,Logistic Regression,0.0,random,8,1.0,DoS,3,0.477,0.4293,0.4473,0.4381
CIC,Logistic Regression,0.0,random,8,1.0,Recon,1,0.4507,0.4127,0.4748,0.4416
CIC,Logistic Regression,0.0,random,8,1.0,Recon,2,0.4228,0.4104,0.4278,0.4189
CIC,Logistic Regression,0.0,random,8,1.0,Recon,3,0.4558,0.4241,0.445,0.4343
CIC,Logistic Regression,0.0,random,8,1.0,Exploit,1,0.4498,0.3981,0.3977,0.3979
CIC,Logistic Regression,0.0,random,8,1.0,Exploit,2,0.4238,0.4613,0.3827,0.4183
CIC,Logistic Regression,0.0,random,8,1.0,Exploit,3,0.4203,0.422,0.4254,0.4237
CIC,Logistic Regression,0.1,ring,5,0.3,DoS,1,0.3467,0.3762,0.3513,0.3633
CIC,Logistic Regression,0.1,ring,5,0.3,DoS,2,0.3947,0.4175,0.3571,0.385
CIC,Logistic Regression,0.1,ring,5,0.3,DoS,3,0.365,0.3843,0.358,0.3707
CIC,Logistic Regression,0.1,ring,5,0.3,Recon,1,0.374,0.3141,0.4473,0.369
CIC,Logistic Regression,0.1,ring,5,0.3,Recon,2,0.361,0.2803,0.3871,0.3251
CIC,Logistic Regression,0.1,ring,5,0.3,Recon,3,0.3398,0.3468,0.3929,0.3684
CIC,Logistic Regression,0.1,ring,5,0.3,Exploit,1,0.3499,0.2842,0.3188,0.3005
CIC,Logistic Regression,0.1,ring,5,0.3,Exploit,2,0.3617,0.3347,0.3701,0.3515
CIC,Logistic Regression,0.1,ring,5,0.3,Exploit,3,0.3238,0.3127,0.331,0.3216
CIC,Logistic Regression,0.1,ring,5,0.5,DoS,1,0.3969,0.4124,0.3676,0.3887
CIC,Logistic Regression,0.1,ring,5,0.5,DoS,2,0.4192,0.3794,0.4231,0.4
CIC,Logistic Regression,0.1,ring,5,0.5,DoS,3,0.3991,0.3853,0.4483,0.4144
CIC,Logistic Regression,0.1,ring,5,0.5,Recon,1,0.4182,0.3843,0.396,0.39
CIC,Logistic Regression,0.1,ring,5,0.5,Recon,2,0.3702,0.407,0.3282,0.3634
CIC,Logistic Regression,0.1,ring,5,0.5,Recon,3,0.3713,0.4208,0.3364,0.3739
CIC,Logistic Regression,0.1,ring,5,0.5,Exploit,1,0.3555,0.3324,0.3605,0.3459
CIC,Logistic Regression,0.1,ring,5,0.5,Exploit,2,0.3267,0.3556,0.3193,0.3365
CIC,Logistic Regression,0.1,ring,5,0.5,Exploit,3,0.3836,0.3054,0.4932,0.3772
CIC,Logistic Regression,0.1,ring,5,1.0,DoS,1,0.3815,0.3499,0.4033,0.3747
CIC,Logistic Regression,0.1,ring,5,1.0,DoS,2,0.3943,0.3897,0.4052,0.3973
CIC,Logistic Regression,0.1,ring,5,1.0,DoS,3,0.4199,0.3728,0.4387,0.4031
CIC,Logistic Regression,0.1,ring,5,1.0,Recon,1,0.4014,0.4015,0.379,0.3899
CIC,Logistic Regression,0.1,ring,5,1.0,Recon,2,0.3901,0.4455,0.3381,0.3844
CIC,Logistic Regression,0.1,ring,5,1.0,Recon,3,0.3563,0.3528,0.4011,0.3754
CIC,Logistic Regression,0.1,ring,5,1.0,Exploit,1,0.3523,0.3247,0.3828,0.3513
CIC,Logistic Regression,0.1,ring,5,1.0,Exploit,2,0.3597,0.3765,0.3735,0.375
CIC,Logistic Regression,0.1,ring,5,1.0,Exploit,3,0.3815,0.4057,0.3636,0.3835
CIC,Logistic Regression,0.1,ring,8,0.3,DoS,1,0.3746,0.3867,0.3551,0.3702
CIC,Logistic Regression,0.1,ring,8,0.3,DoS,2,0.3635,0.3562,0.3603,0.3583
CIC,Logistic Regression,0.1,ring,8,0.3,DoS,3,0.3375,0.3722,0.361,0.3665
CIC,Logistic Regression,0.1,ring,8,0.3,Recon,1,0.3781,0.4175,0.3488,0.38
CIC,Logistic Regression,0.1,ring,8,0.3,Recon,2,0.366,0.2932,0.4851,0.3655
CIC,Logistic Regression,0.1,ring,8,0.3,Recon,3,0.3734,0.3234,0.3949,0.3556
CIC,Logistic Regression,0.1,ring,8,0.3,Exploit,1,0.3672,0.3447,0.4233,0.38
CIC,Logistic Regression,0.1,ring,8,0.3,Exploit,2,0.3343,0.4019,0.3156,0.3535
CIC,Logistic Regression,0.1,ring,8,0.3,Exploit,3,0.3271,0.4084,0.312,0.3537
CIC,Logistic Regression,0.1,ring,8,0.5,DoS,1,0.3658,0.3631,0.3894,0.3758
CIC,Logistic Regression,0.1,ring,8,0.5,DoS,2,0.3718,0.4144,0.4002,0.4072
CIC,Logistic Regression,0.1,ring,8,0.5,DoS,3,0.429,0.3854,0.4217,0.4027
CIC,Logistic Regression,0.1,ring,8,0.5,Recon,1,0.3775,0.3465,0.3869,0.3656
CIC,Logistic Regression,0.1,ring,8,0.5,Recon,2,0.3532,0.3999,0.3739,0.3864
CIC,Logistic Regression,0.1,ring,8,0.5,Recon,3,0.3908,0.352,0.4201,0.3831
CIC,Logistic Regression,0.1,ring,8,0.5,Exploit,1,0.328,0.357,0.3312,0.3436
CIC,Logistic Regression,0.1,ring,8,0.5,Exploit,2,0.3518,0.3672,0.3267,0.3458
CIC,Logistic Regression,0.1,ring,8,0.5,Exploit,3,0.3513,0.3993,0.3208,0.3558
CIC,Logistic Regression,0.1,ring,8,1.0,DoS,1,0.3932,0.4135,0.3977,0.4055
CIC,Logistic Regression,0.1,ring,8,1.0,DoS,2,0.4045,0.3961,0.4294,0.4121
CIC,Logistic Regression,0.1,ring,8,1.0,DoS,3,0.3799,0.3942,0.462,0.4254
CIC,Logistic Regression,0.1,ring,8,1.0,Recon,1,0.4115,0.4856,0.3535,0.4092
CIC,Logistic Regression,0.1,ring,8,1.0,Recon,2,0.3505,0.3466,0.3658,0.3559
CIC,Logistic Regression,0.1,ring,8,1.0,Recon,3,0.3973,0.3487,0.4226,0.3822
CIC,Logistic Regression,0.1,ring,8,1.0,Exploit,1,0.4037,0.338,0.4414,0.3829
CIC,Logistic Regression,0.1,ring,8,1.0,Exploit,2,0.3991,0.4109,0.4008,0.4058
CIC,Logistic Regression,0.1,ring,8,1.0,Exploit,3,0.3391,0.3913,0.3561,0.3729
CIC,Logistic Regression,0.1,fully,5,0.3,DoS,1,0.4348,0.3858,0.4099,0.3975
CIC,Logistic Regression,0.1,fully,5,0.3,DoS,2,0.3754,0.4424,0.3525,0.3924
CIC,Logistic Regression,0.1,fully,5,0.3,DoS,3,0.3866,0.4134,0.3947,0.4038
CIC,Logistic Regression,0.1,fully,5,0.3,Recon,1,0.3741,0.414,0.3472,0.3777
CIC,Logistic Regression,0.1,fully,5,0.3,Recon,2,0.3316,0.3491,0.3501,0.3496
CIC,Logistic Regression,0.1,fully,5,0.3,Recon,3,0.3358,0.3674,0.3723,0.3699
CIC,Logistic Regression,0.1,fully,5,0.3,Exploit,1,0.3309,0.3552,0.3274,0.3408
CIC,Logistic Regression,0.1,fully,5,0.3,Exploit,2,0.3335,0.3501,0.306,0.3265
CIC,Logistic Regression,0.1,fully,5,0.3,Exploit,3,0.3767,0.3148,0.4051,0.3543
CIC,Logistic Regression,0.1,fully,5,0.5,DoS,1,0.4328,0.4867,0.3621,0.4152
CIC,Logistic Regression,0.1,fully,5,0.5,DoS,2,0.4322,0.4108,0.4209,0.4158
CIC,Logistic Regression,0.1,fully,5,0.5,DoS,3,0.4118,0.4569,0.3875,0.4194
CIC,Logistic Regression,0.1,fully,5,0.5,Recon,1,0.3999,0.3691,0.399,0.3835
CIC,Logistic Regression,0.1,fully,5,0.5,Recon,2,0.4045,0.3987,0.4272,0.4125
CIC,Logistic Regression,0.1,fully,5,0.5,Recon,3,0.4139,0.3873,0.4024,0.3947
CIC,Logistic Regression,0.1,fully,5,0.5,Exploit,1,0.3326,0.3214,0.3752,0.3462
CIC,Logistic Regression,0.1,fully,5,0.5,Exploit,2,0.3298,0.3163,0.3799,0.3452
CIC,Logistic Regression,0.1,fully,5,0.5,Exploit,3,0.3746,0.4104,0.3486,0.377
CIC,Logistic Regression,0.1,fully,5,1.0,DoS,1,0.4255,0.4028,0.4063,0.4045
CIC,Logistic Regression,0.1,fully,5,1.0,DoS,2,0.4187,0.378,0.4369,0.4054
CIC,Logistic Regression,0.1,fully,5,1.0,DoS,3,0.4172,0.4361,0.3989,0.4167
CIC,Logistic Regression,0.1,fully,5,1.0,Recon,1,0.4131,0.3795,0.4471,0.4105
CIC,Logistic Regression,0.1,fully,5,1.0,Recon,2,0.3697,0.3604,0.4415,0.3968
CIC,Logistic Regression,0.1,fully,5,1.0,Recon,3,0.3901,0.3998,0.4214,0.4103
CIC,Logistic Regression,0.1,fully,5,1.0,Exploit,1,0.3455,0.4224,0.3597,0.3886
CIC,Logistic Regression,0.1,fully,5,1.0,Exploit,2,0.3992,0.3399,0.4001,0.3676
CIC,Logistic Regression,0.1,fully,5,1.0,Exploit,3,0.3726,0.4173,0.3736,0.3942
CIC,Logistic Regression,0.1,fully,8,0.3,DoS,1,0.3848,0.3966,0.3707,0.3832
CIC,Logistic Regression,0.1,fully,8,0.3,DoS,2,0.4139,0.4026,0.414,0.4082
CIC,Logistic Regression,0.1,fully,8,0.3,DoS,3,0.4197,0.4257,0.3815,0.4024
CIC,Logistic Regression,0.1,fully,8,0.3,Recon,1,0.3963,0.2883,0.4643,0.3557
CIC,Logistic Regression,0.1,fully,8,0.3,Recon,2,0.3634,0.3672,0.434,0.3978
CIC,Logistic Regression,0.1,fully,8,0.3,Recon,3,0.4192,0.4094,0.3571,0.3815
CIC,Logistic Regression,0.1,fully,8,0.3,Exploit,1,0.3602,0.3666,0.3896,0.3777
CIC,Logistic Regression,0.1,fully,8,0.3,Exploit,2,0.3501,0.3612,0.3796,0.3702
CIC,Logistic Regression,0.1,fully,8,0.3,Exploit,3,0.4291,0.4543,0.3585,0.4007
CIC,Logistic Regression,0.1,fully,8,0.5,DoS,1,0.4154,0.4268,0.3784,0.4012
CIC,Logistic Regression,0.1,fully,8,0.5,DoS,2,0.4372,0.4591,0.3898,0.4216
CIC,Logistic Regression,0.1,fully,8,0.5,DoS,3,0.4337,0.4452,0.4086,0.4261
CIC,Logistic Regression,0.1,fully,8,0.5,Recon,1,0.3571,0.3708,0.3658,0.3682
CIC,Logistic Regression,0.1,fully,8,0.5,Recon,2,0.4157,0.4263,0.336,0.3758
CIC,Logistic Regression,0.1,fully,8,0.5,Recon,3,0.4425,0.423,0.408,0.4154
CIC,Logistic Regression,0.1,fully,8,0.5,Exploit,1,0.3634,0.3913,0.3793,0.3852
CIC,Logistic Regression,0.1,fully,8,0.5,Exploit,2,0.3649,0.3928,0.3892,0.391
CIC,Logistic Regression,0.1,fully,8,0.5,Exploit,3,0.4202,0.3818,0.3867,0.3842
CIC,Logistic Regression,0.1,fully,8,1.0,DoS,1,0.4434,0.4388,0.4381,0.4384
CIC,Logistic Regression,0.1,fully,8,1.0,DoS,2,0.4041,0.4196,0.4319,0.4257
CIC,Logistic Regression,0.1,fully,8,1.0,DoS,3,0.3991,0.4004,0.4478,0.4227
CIC,Logistic Regression,0.1,fully,8,1.0,Recon,1,0.3773,0.4244,0.4016,0.4127
CIC,Logistic Regression,0.1,fully,8,1.0,Recon,2,0.4263,0.433,0.3771,0.4032
CIC,Logistic Regression,0.1,fully,8,1.0,Recon,3,0.4035,0.4216,0.4192,0.4204
CIC,Logistic Regression,0.1,fully,8,1.0,Exploit,1,0.3866,0.3891,0.3689,0.3787
CIC,Logistic Regression,0.1,fully,8,1.0,Exploit,2,0.4139,0.4473,0.3858,0.4143
CIC,Logistic Regression,0.1,fully,8,1.0,Exploit,3,0.3809,0.3668,0.3864,0.3763
CIC,Logistic Regression,0.1,random,5,0.3,DoS,1,0.3879,0.3646,0.401,0.382
CIC,Logistic Regression,0.1,random,5,0.3,DoS,2,0.3847,0.3586,0.3984,0.3774
CIC,Logistic Regression,0.1,random,5,0.3,DoS,3,0.3846,0.3863,0.3719,0.379
CIC,Logistic Regression,0.1,random,5,0.3,Recon,1,0.3773,0.3335,0.3637,0.3479
